id,name,gender,paid,isFiliated,state,date,plan
151,Romantic Liskov,Masculino,642.31,False,GO,19-02-2022,Standard
152,Heuristic Agnesi,Não-binário,387.63,True,SP,20-04-2021,Pro
153,Infallible Mccarthy,Masculino,832.56,False,SE,30-07-2024,Standard
154,Happy Meitner,Feminino,778.85,True,AM,31-05-2022,Pro
155,Determined Shaw,Feminino,725.3,True,BA,16-02-2022,Pro
156,Wizardly Heisenberg,Feminino,2163.85,True,MA,17-05-2020,Premium
157,Jovial Chaum,Não-binário,942.0,True,TO,01-07-2020,Pro
158,Bold Mahavira,Não-binário,479.0,False,RJ,13-07-2021,Free
159,Beautiful Haslett,Não-binário,199.96,False,SE,19-08-2020,Free
160,Beautiful Jennings,Não-binário,1875.68,True,RO,23-08-2024,Premium
161,Admiring Kilby,Masculino,965.71,False,AM,16-10-2023,Standard
162,Nifty Sanderson,Não-binário,2982.5,True,PR,08-07-2023,Premium
163,Hardcore Booth,Não-binário,481.14,False,GO,30-08-2023,Free
164,Jolly Joliot,Feminino,324.83,False,PI,11-04-2020,Free
165,Nifty Mestorf,Feminino,2302.15,True,AC,19-10-2020,Premium
166,Intelligent Hodgkin,Não-binário,53.29,True,ES,17-02-2022,Pro
167,Flamboyant Feynman,Não-binário,290.57,True,GO,20-11-2024,Pro
168,Nifty Mendeleev,Não-binário,116.8,True,RR,17-06-2022,Pro
169,Condescending Shamir,Masculino,2597.21,False,PR,04-12-2020,Pro
170,Mystifying Williams,Masculino,2114.07,True,AM,13-04-2020,Premium
172,Vibrant Davinci,Não-binário,2364.59,False,RR,17-12-2023,Pro
173,Bold Chebyshev,Masculino,708.48,False,MG,20-09-2022,Standard
174,Wizardly Mayer,Feminino,1178.58,False,SC,11-02-2023,Standard
175,Vibrant Meitner,Feminino,2890.78,False,PB,06-03-2024,Pro
176,Stoic Tharp,Feminino,2390.95,False,MG,17-08-2024,Pro
177,Zen Mirzakhani,Masculino,68.32,True,AP,02-11-2022,Pro
178,Unruffled Yonath,Não-binário,913.46,False,RR,30-04-2021,Standard
179,Recursing Newton,Feminino,656.92,False,AP,19-08-2022,Standard
180,Objective Knuth,Masculino,220.71,True,MT,27-08-2020,Pro
181,Distracted Cerf,Não-binário,366.84,True,CE,11-10-2021,Pro
182,Objective Johnson,Masculino,532.25,False,DF,25-09-2023,Free
183,Youthful Cerf,Feminino,2803.42,False,BA,09-04-2024,Pro
184,Kind Diffie,Masculino,2379.2,True,DF,24-07-2021,Premium
185,Practical Goldberg,Masculino,19.07,False,RS,23-08-2021,Free
186,Serene Taussig,Não-binário,9.89,True,AM,26-03-2023,Pro
187,Jolly Dhawan,Masculino,916.52,True,RS,15-01-2024,Pro
188,Zen Newton,Masculino,333.07,True,RS,06-12-2021,Pro
189,Inspiring Gauss,Não-binário,453.53,True,MA,19-12-2020,Pro
190,Competent Joliot,Não-binário,792.84,True,AM,13-10-2024,Pro
191,Pensive Almeida,Feminino,467.63,False,DF,11-07-2022,Free
192,Loving Darwin,Masculino,714.99,True,SC,11-06-2020,Pro
193,Eloquent Tesla,Não-binário,138.65,True,TO,22-11-2021,Pro
194,Recursing Banzai,Não-binário,722.04,True,SE,23-01-2024,Pro
195,Happy Pike,Masculino,2504.05,True,PA,25-02-2024,Premium
196,Objective Sanderson,Não-binário,446.67,True,AC,28-11-2023,Pro
197,Ecstatic Brahmagupta,Não-binário,760.41,False,RO,23-04-2024,Standard
198,Keen Bose,Não-binário,873.83,False,PB,22-07-2020,Standard
199,Upbeat Shamir,Não-binário,886.13,False,DF,23-06-2022,Standard
200,Modest Blackburn,Feminino,2527.37,False,PA,17-09-2023,Pro
201,Quizzical Jemison,Masculino,860.04,True,AC,04-05-2022,Pro
202,Cranky Bassi,Não-binário,164.83,False,MS,25-01-2020,Free
203,Jolly Babbage,Feminino,322.02,True,GO,17-07-2020,Pro
204,Jolly Neumann,Não-binário,1384.01,True,GO,12-03-2023,Pro
205,Musing Wescoff,Não-binário,2620.62,True,MA,07-08-2023,Premium
206,Trusting Jepsen,Feminino,254.62,False,PI,01-03-2020,Free
207,Frosty Ellis,Não-binário,899.3,True,RS,23-04-2024,Pro
208,Great Dewdney,Feminino,685.66,False,RN,19-07-2021,Standard
209,Tender Germain,Não-binário,835.38,False,PA,04-12-2020,Standard
210,Exciting Ritchie,Feminino,473.79,True,PR,08-02-2021,Pro
211,Angry Elgamal,Não-binário,804.19,True,CE,18-11-2024,Pro
212,Tender Sinoussi,Masculino,665.37,True,MA,17-09-2022,Pro
213,Modest Driscoll,Masculino,435.13,True,BA,18-10-2020,Pro
214,Relaxed Lewin,Não-binário,674.18,True,PB,21-11-2024,Pro
215,Romantic Hermann,Não-binário,461.46,False,GO,25-11-2023,Free
216,Lucid Lalande,Não-binário,435.49,True,DF,23-05-2021,Pro
217,Friendly Noether,Não-binário,1831.58,False,PA,07-12-2021,Pro
218,Jolly Pascal,Feminino,267.56,False,MT,13-06-2021,Free
219,Competent Nightingale,Não-binário,852.59,False,RN,30-10-2020,Standard
220,Compassionate Swanson,Não-binário,215.18,False,AC,25-03-2021,Free
221,Competent Blackburn,Feminino,224.58,True,SE,17-04-2020,Pro
222,Practical Hermann,Masculino,986.45,True,RJ,03-02-2021,Pro
223,Wizardly Nash,Não-binário,191.35,True,RJ,06-01-2021,Pro
224,Unruffled Shtern,Masculino,50.09,True,RN,20-04-2020,Pro
225,Loving Tereshkova,Feminino,934.88,True,BA,26-05-2023,Pro
226,Frosty Bouman,Feminino,1291.82,False,RR,09-05-2023,Standard
227,Beautiful Brown,Feminino,813.96,True,DF,21-10-2023,Pro
229,Lucid Elion,Masculino,1600.71,True,RJ,29-04-2023,Pro
230,Bold Khorana,Não-binário,575.36,True,PE,24-08-2022,Pro
231,Clever Swartz,Masculino,737.21,True,RN,25-10-2020,Pro
232,Nice Cannon,Masculino,210.68,True,SE,21-12-2024,Pro
233,Stupefied Franklin,Feminino,180.6,False,DF,22-06-2024,Free
235,Vibrant Heyrovsky,Feminino,2274.13,True,PI,11-02-2023,Premium
236,Pensive Hofstadter,Masculino,2316.59,False,MS,27-05-2023,Pro
237,Stupefied Panini,Feminino,2242.01,False,SP,06-06-2024,Pro
238,Festive Lederberg,Masculino,14.66,False,AP,30-07-2022,Free
239,Practical Feynman,Não-binário,762.04,True,MG,18-02-2023,Pro
240,Elated Chandrasekhar,Feminino,120.33,False,PB,03-11-2023,Free
243,Relaxed Wu,Feminino,724.47,True,AC,07-08-2022,Pro
244,Vigorous Zhukovsky,Feminino,554.81,False,PE,11-07-2022,Free
245,Competent Benz,Feminino,206.28,False,SP,24-04-2023,Free
246,Tender Lichterman,Masculino,2760.36,True,RS,26-09-2021,Premium
247,Gracious Buck,Masculino,2446.47,True,RJ,07-08-2022,Premium
248,Keen Golick,Feminino,639.93,False,RN,12-01-2023,Standard
249,Angry Rosalind,Não-binário,217.78,True,RR,05-11-2020,Pro
250,Intelligent Hertz,Não-binário,812.29,False,SP,13-06-2024,Standard
251,Trusting Northcutt,Masculino,2058.25,True,TO,21-04-2024,Premium
252,Reverent Goldwasser,Masculino,964.14,True,CE,03-12-2024,Pro
253,Intelligent Hodgkin,Masculino,2285.1,False,TO,29-08-2021,Pro
254,Jolly Leakey,Feminino,713.44,True,RO,13-08-2024,Pro
255,Hardcore Hoover,Masculino,1699.44,True,AP,26-12-2024,Pro
256,Romantic Varahamihira,Não-binário,2441.66,False,MG,27-02-2020,Pro
257,Sad Cannon,Feminino,310.67,False,BA,31-03-2023,Free
258,Suspicious Mclaren,Feminino,2093.23,False,PE,10-05-2020,Pro
259,Jovial Mcnulty,Feminino,1240.1,False,PR,05-09-2020,Standard
260,Sad Hugle,Não-binário,1685.0,True,TO,01-02-2022,Pro
261,Sad Wiles,Masculino,1883.04,False,SC,29-10-2021,Pro
262,Loving Noether,Não-binário,583.58,False,PR,02-02-2022,Free
263,Sad Johnson,Masculino,429.72,True,ES,29-09-2022,Pro
264,Friendly Ramanujan,Masculino,1536.95,False,MG,30-11-2024,Standard
265,Wizardly Almeida,Não-binário,1701.71,False,PB,21-03-2020,Standard
266,Charming Hypatia,Feminino,2883.98,True,BA,23-06-2022,Premium
267,Vigilant Shtern,Masculino,331.2,True,AP,06-04-2023,Pro
268,Admiring Visvesvaraya,Não-binário,1119.32,False,RO,09-08-2022,Standard
269,Stupefied Panini,Não-binário,2925.1,False,PR,24-03-2022,Pro
270,Vibrant Chebyshev,Masculino,2847.36,True,PB,18-06-2021,Premium
271,Zen Roentgen,Não-binário,2871.52,False,AL,19-01-2022,Pro
272,Pensive Tereshkova,Não-binário,2972.44,False,AM,04-04-2020,Pro
273,Intelligent Yalow,Masculino,1425.38,False,AL,08-01-2022,Standard
274,Hopeful Bose,Feminino,785.81,True,MA,09-05-2021,Pro
275,Wizardly Vaughan,Feminino,2086.9,True,RS,27-05-2021,Premium
276,Xenodochial Taussig,Feminino,394.15,True,MA,03-02-2022,Pro
277,Jolly Moore,Feminino,993.24,True,PI,23-10-2020,Pro
278,Unruffled Solomon,Não-binário,638.65,True,RS,17-09-2020,Pro
279,Agitated Spence,Feminino,167.23,True,PB,14-01-2021,Pro
280,Happy Tu,Feminino,541.24,True,RO,05-10-2021,Pro
281,Nervous Robinson,Não-binário,2118.53,True,MS,13-10-2021,Premium
282,Thirsty Moore,Não-binário,2971.21,True,AP,20-05-2024,Premium
283,Tender Bouman,Masculino,646.36,False,MA,26-11-2024,Standard
284,Jovial Gauss,Feminino,2335.32,True,RO,31-05-2020,Premium
285,Xenodochial Fermi,Feminino,2471.84,False,PA,03-04-2022,Pro
286,Confident Jang,Feminino,998.76,True,PB,03-10-2020,Pro
287,Sleepy Dijkstra,Masculino,152.71,False,RN,21-05-2023,Free
288,Reverent Pasteur,Masculino,699.82,True,PB,27-04-2023,Pro
289,Admiring Margulis,Não-binário,2838.02,True,RO,26-04-2021,Premium
290,Optimistic Pare,Feminino,1273.28,False,MS,26-01-2024,Standard
291,Interesting Almeida,Não-binário,744.64,True,TO,07-10-2023,Pro
292,Jovial Beaver,Masculino,1826.48,True,AM,11-04-2020,Premium
293,Heuristic Lamport,Feminino,2803.31,True,PB,15-01-2021,Premium
294,Beautiful Tesla,Masculino,162.52,True,SC,16-05-2022,Pro
295,Elated Booth,Masculino,1208.92,False,BA,31-03-2023,Standard
296,Ecstatic Euclid,Não-binário,681.67,False,ES,06-03-2020,Standard
297,Clever Cohen,Não-binário,612.01,False,DF,30-09-2020,Standard
298,Zen Robinson,Não-binário,165.69,True,AP,06-02-2023,Pro
299,Awesome Jones,Não-binário,1469.68,True,RN,05-11-2024,Pro
300,Elated Chandrasekhar,Não-binário,612.39,True,RJ,30-07-2020,Pro
301,Zen Agnesi,Não-binário,1125.0,False,AM,26-06-2023,Standard
302,Competent Rhodes,Não-binário,541.11,True,SP,15-06-2024,Pro
303,Thirsty Carver,Masculino,1650.98,True,MA,17-05-2023,Pro
305,Angry Turing,Masculino,326.76,True,MT,14-09-2024,Pro
307,Sleepy Edison,Feminino,294.96,False,DF,11-09-2023,Free
308,Angry Clarke,Não-binário,891.14,False,MA,14-01-2024,Standard
309,Gifted Joliot,Masculino,295.8,True,AL,30-04-2022,Pro
310,Nervous Mirzakhani,Feminino,2709.81,True,RJ,11-12-2024,Premium
311,Objective Dewdney,Não-binário,990.79,False,PR,15-01-2021,Standard
312,Amazing Lalande,Feminino,876.69,True,PA,01-11-2021,Pro
314,Focused Sammet,Não-binário,769.63,False,PI,13-05-2023,Standard
315,Unruffled Curran,Feminino,1847.57,False,MS,12-02-2023,Pro
316,Hardcore Jackson,Feminino,351.23,True,RO,21-03-2024,Pro
317,Ecstatic Lewin,Feminino,299.89,True,MT,27-04-2020,Pro
318,Friendly Jones,Masculino,613.26,False,RR,21-02-2022,Standard
319,Stoic Yonath,Feminino,417.96,False,MS,29-06-2023,Free
320,Vigilant Dewdney,Masculino,137.84,False,SE,27-06-2023,Free
321,Epic Germain,Feminino,455.61,False,RR,09-10-2022,Free
322,Relaxed Kowalevski,Feminino,854.17,False,AP,07-09-2023,Standard
323,Beautiful Jepsen,Feminino,340.3,True,ES,03-06-2023,Pro
324,Zen Babbage,Não-binário,981.4,False,GO,02-05-2022,Standard
325,Musing Chaplygin,Masculino,236.57,False,PE,14-02-2023,Free
327,Jovial Pascal,Masculino,782.54,True,SP,15-01-2021,Pro
328,Jolly Goldberg,Não-binário,492.95,False,MG,10-10-2023,Free
330,Keen Kepler,Masculino,1227.11,False,SP,31-01-2023,Standard
331,Thirsty Cannon,Masculino,141.21,True,ES,31-12-2021,Pro
332,Musing Swanson,Feminino,2230.97,False,RO,14-09-2020,Pro
333,Boring Lichterman,Não-binário,690.54,True,AL,12-03-2024,Pro
334,Elated Wing,Masculino,2482.44,False,PR,14-06-2020,Pro
335,Musing Shannon,Masculino,146.34,True,BA,30-07-2020,Pro
336,Nervous Beaver,Masculino,828.66,True,PA,08-04-2022,Pro
337,Happy Allen,Não-binário,972.58,False,SC,10-01-2020,Standard
338,Loving Agnesi,Masculino,2340.53,False,RJ,16-09-2021,Pro
339,Festive Williamson,Masculino,628.62,True,RS,21-08-2021,Pro
340,Compassionate Shannon,Masculino,1515.68,False,PR,03-02-2020,Standard
341,Brave Gates,Não-binário,727.57,False,RO,01-02-2020,Standard
342,Infallible Jemison,Masculino,374.49,True,MG,02-07-2023,Pro
343,Vigorous Gagarin,Não-binário,28.54,False,MT,24-10-2024,Free
344,Nice Engelbart,Feminino,49.97,False,MT,23-01-2024,Free
345,Elastic Wiles,Masculino,371.95,True,ES,24-08-2021,Pro
347,Sad Noyce,Masculino,2535.35,False,PE,07-12-2024,Pro
348,Infallible Benz,Masculino,638.67,False,RJ,11-02-2021,Standard
349,Blissful Cori,Não-binário,76.45,True,RS,22-06-2021,Pro
350,Eloquent Euclid,Feminino,902.39,True,RJ,01-05-2021,Pro
351,Modest Wu,Masculino,1788.13,False,AL,26-05-2024,Standard
352,Busy Allen,Feminino,2263.52,True,TO,04-09-2024,Premium
353,Sweet Wescoff,Não-binário,135.9,False,RS,11-04-2023,Free
355,Eager Kowalevski,Masculino,728.08,False,BA,13-04-2020,Standard
356,Practical Haslett,Não-binário,1258.74,False,SC,18-12-2023,Standard
357,Sharp Turing,Feminino,972.05,True,AL,30-07-2024,Pro
358,Admiring Kalam,Feminino,646.3,True,CE,18-01-2021,Pro
359,Epic Pasteur,Masculino,213.74,True,DF,30-12-2020,Pro
360,Elegant Shtern,Não-binário,19.79,False,PR,23-11-2022,Free
361,Sleepy Villani,Não-binário,763.57,False,MT,25-11-2022,Standard
362,Beautiful Meitner,Masculino,2944.91,False,PI,18-10-2024,Pro
363,Sweet Sanderson,Masculino,555.51,False,MA,06-08-2022,Free
364,Happy Swirles,Não-binário,416.2,True,RO,17-08-2024,Pro
365,Crazy Herschel,Feminino,2238.46,False,GO,09-12-2021,Pro
366,Modest Napier,Feminino,94.61,False,AP,27-08-2021,Free
367,Optimistic Goldstine,Masculino,417.37,False,MG,15-12-2021,Free
368,Exciting Panini,Feminino,254.86,True,CE,08-07-2020,Pro
369,Friendly Gagarin,Não-binário,832.21,False,RJ,17-01-2020,Standard
370,Hardcore Hertz,Masculino,362.77,False,CE,29-01-2024,Free
371,Jovial Hawking,Feminino,571.58,True,TO,26-11-2020,Pro
372,Friendly Keller,Feminino,241.22,True,RR,30-10-2020,Pro
373,Hopeful Shirley,Masculino,2480.56,True,TO,17-11-2024,Premium
374,Lucid Spence,Masculino,1103.39,True,AP,31-01-2020,Pro
375,Inspiring Heisenberg,Não-binário,645.82,True,GO,14-10-2020,Pro
376,Amazing Proskuriakova,Feminino,55.01,True,PB,26-12-2022,Pro
377,Adoring Austin,Não-binário,1935.11,False,MT,31-05-2020,Pro
378,Clever Blackburn,Feminino,486.09,False,BA,20-12-2020,Free
379,Friendly Feistel,Feminino,2927.86,True,AM,04-02-2024,Premium
380,Ecstatic Vaughan,Masculino,145.54,False,RS,15-10-2022,Free
381,Wizardly Heisenberg,Não-binário,610.78,False,AP,11-11-2024,Standard
383,Recursing Dijkstra,Feminino,1051.06,False,DF,16-02-2020,Standard
384,Reverent Napier,Não-binário,869.92,False,PB,07-05-2023,Standard
385,Happy Poincare,Masculino,524.5,True,AM,25-12-2021,Pro
386,Sad Turing,Masculino,796.12,False,DF,06-11-2022,Standard
387,Awesome Cohen,Masculino,1251.58,True,RN,30-01-2023,Pro
388,Brave Feistel,Não-binário,1846.31,False,AC,02-03-2022,Pro
389,Brave Fermat,Feminino,609.53,False,PR,08-04-2020,Standard
390,Trusting Kapitsa,Não-binário,226.48,True,MS,18-09-2020,Pro
391,Great Williamson,Feminino,756.87,True,GO,08-12-2022,Pro
392,Inspiring Cohen,Não-binário,313.4,False,PR,01-01-2023,Free
393,Beautiful Wiles,Feminino,1100.74,True,AP,10-05-2022,Pro
394,Awesome Blackwell,Masculino,1047.66,True,RO,29-12-2024,Pro
395,Infallible Ishizaka,Masculino,740.08,False,SP,24-01-2022,Standard
396,Quizzical Sinoussi,Masculino,1172.7,True,PR,22-03-2023,Pro
397,Great Elion,Não-binário,142.17,False,SC,04-05-2023,Free
